,Book-Title,Year-Of-Publication,isbn,user_id,book_rating
26,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,6563,5
27,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,10447,6
28,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,11224,8
29,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,11676,9
30,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,13968,8
31,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,55438,10
32,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,82831,8
33,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,104636,9
34,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,125171,7
35,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,131182,10
36,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,132318,8
37,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,132770,8
38,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,148744,10
39,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,154543,5
40,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,162840,6
41,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,175143,5
42,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,205735,7
43,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,212467,5
44,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,213150,9
45,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,218726,7
46,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,236283,10
47,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,238849,8
48,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,246513,10
49,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,253580,6
50,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,270713,7
51,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,6563,5
52,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,10447,6
53,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,11224,8
54,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,11676,9
55,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,13968,8
56,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,55438,10
57,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,82831,8
58,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,104636,9
59,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,125171,7
60,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,131182,10
61,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,132318,8
62,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,132770,8
63,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,148744,10
64,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,154543,5
65,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,162840,6
66,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,175143,5
67,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,205735,7
68,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,212467,5
69,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,213150,9
70,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,218726,7
71,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,236283,10
72,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,238849,8
73,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,246513,10
74,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,253580,6
75,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,1558746226,270713,7
81,Beloved (Plume Contemporary Fiction),1994,0452264464,3373,10
83,Beloved (Plume Contemporary Fiction),1994,0452264464,6242,5
84,Beloved (Plume Contemporary Fiction),1994,0452264464,8570,8
86,Beloved (Plume Contemporary Fiction),1994,0452264464,11676,8
90,Beloved (Plume Contemporary Fiction),1994,0452264464,21870,9
91,Beloved (Plume Contemporary Fiction),1994,0452264464,22625,9
93,Beloved (Plume Contemporary Fiction),1994,0452264464,28056,9
95,Beloved (Plume Contemporary Fiction),1994,0452264464,36907,10
96,Beloved (Plume Contemporary Fiction),1994,0452264464,40330,8
97,Beloved (Plume Contemporary Fiction),1994,0452264464,40612,2
98,Beloved (Plume Contemporary Fiction),1994,0452264464,49980,2
99,Beloved (Plume Contemporary Fiction),1994,0452264464,52832,1
