,book_name,isbn,user_id,book_rating,rating
3478,Timeline,0345417623,277965,0,
3479,Timeline,0345417623,278144,0,
3480,Timeline,0345417623,16,0,
3481,Timeline,0345417623,1376,8,8.0
3482,Timeline,0345417623,1848,8,8.0
3483,Timeline,0345417623,2087,0,
3484,Timeline,0345417623,3363,0,
3485,Timeline,0345417623,4556,0,
3486,Timeline,0345417623,5815,0,
3487,Timeline,0345417623,6251,0,
3488,Timeline,0345417623,7346,0,
3489,Timeline,0345417623,8682,8,8.0
3490,Timeline,0345417623,8782,0,
3491,Timeline,0345417623,9227,7,7.0
3492,Timeline,0345417623,10215,6,6.0
3493,Timeline,0345417623,10470,7,7.0
3494,Timeline,0345417623,11676,10,10.0
3495,Timeline,0345417623,12565,7,7.0
3496,Timeline,0345417623,13600,0,
3497,Timeline,0345417623,13726,7,7.0
3498,Timeline,0345417623,13915,0,
3499,Timeline,0345417623,16551,8,8.0
3500,Timeline,0345417623,16666,5,5.0
3501,Timeline,0345417623,16795,5,5.0
3502,Timeline,0345417623,16799,7,7.0
3503,Timeline,0345417623,17172,0,
3504,Timeline,0345417623,17353,8,8.0
3505,Timeline,0345417623,17796,0,
3506,Timeline,0345417623,18583,8,8.0
3507,Timeline,0345417623,19085,8,8.0
3508,Timeline,0345417623,20119,0,
3509,Timeline,0345417623,20512,0,
3510,Timeline,0345417623,21875,8,8.0
3511,Timeline,0345417623,22045,10,10.0
3512,Timeline,0345417623,22062,0,
3513,Timeline,0345417623,23047,0,
3514,Timeline,0345417623,24064,0,
3515,Timeline,0345417623,24144,8,8.0
3516,Timeline,0345417623,24278,7,7.0
3517,Timeline,0345417623,24771,10,10.0
3518,Timeline,0345417623,25410,9,9.0
3519,Timeline,0345417623,28222,9,9.0
3520,Timeline,0345417623,28523,0,
3521,Timeline,0345417623,29131,10,10.0
3522,Timeline,0345417623,30131,0,
3523,Timeline,0345417623,30594,10,10.0
3524,Timeline,0345417623,30972,0,
3525,Timeline,0345417623,30994,10,10.0
3526,Timeline,0345417623,31172,0,
3527,Timeline,0345417623,31315,0,
3528,Timeline,0345417623,31620,7,7.0
3529,Timeline,0345417623,31846,0,
3530,Timeline,0345417623,32003,8,8.0
3531,Timeline,0345417623,32148,3,3.0
3532,Timeline,0345417623,32188,8,8.0
3533,Timeline,0345417623,33832,4,4.0
3534,Timeline,0345417623,34588,5,5.0
3535,Timeline,0345417623,35859,0,
3536,Timeline,0345417623,36506,8,8.0
3537,Timeline,0345417623,36510,9,9.0
3538,Timeline,0345417623,37204,4,4.0
3539,Timeline,0345417623,37239,9,9.0
3540,Timeline,0345417623,37623,9,9.0
3541,Timeline,0345417623,38023,0,
3542,Timeline,0345417623,39233,9,9.0
3543,Timeline,0345417623,39646,0,
3544,Timeline,0345417623,40889,4,4.0
3545,Timeline,0345417623,41760,9,9.0
3546,Timeline,0345417623,42083,10,10.0
3547,Timeline,0345417623,42162,0,
3548,Timeline,0345417623,42333,7,7.0
3549,Timeline,0345417623,42372,8,8.0
3550,Timeline,0345417623,42546,7,7.0
3551,Timeline,0345417623,43359,0,
3552,Timeline,0345417623,43687,0,
3553,Timeline,0345417623,45291,0,
3554,Timeline,0345417623,45954,8,8.0
3555,Timeline,0345417623,46892,5,5.0
3556,Timeline,0345417623,47117,0,
3557,Timeline,0345417623,48494,10,10.0
3558,Timeline,0345417623,49225,10,10.0
3559,Timeline,0345417623,49294,5,5.0
3560,Timeline,0345417623,50681,8,8.0
3561,Timeline,0345417623,51526,0,
3562,Timeline,0345417623,52845,8,8.0
3563,Timeline,0345417623,53140,8,8.0
3564,Timeline,0345417623,53174,10,10.0
3565,Timeline,0345417623,53418,7,7.0
3566,Timeline,0345417623,53456,0,
3567,Timeline,0345417623,53604,10,10.0
3568,Timeline,0345417623,54605,0,
3569,Timeline,0345417623,55562,0,
3570,Timeline,0345417623,56399,0,
3571,Timeline,0345417623,56715,0,
3572,Timeline,0345417623,56856,0,
3573,Timeline,0345417623,58067,6,6.0
3574,Timeline,0345417623,58142,8,8.0
3575,Timeline,0345417623,58351,5,5.0
3576,Timeline,0345417623,59038,0,
3577,Timeline,0345417623,59172,10,10.0
3578,Timeline,0345417623,61935,8,8.0
3579,Timeline,0345417623,62542,0,
3580,Timeline,0345417623,62575,0,
3581,Timeline,0345417623,62932,3,3.0
3582,Timeline,0345417623,64310,10,10.0
3583,Timeline,0345417623,65191,10,10.0
3584,Timeline,0345417623,66096,6,6.0
3585,Timeline,0345417623,66591,0,
3586,Timeline,0345417623,67034,0,
3587,Timeline,0345417623,67236,10,10.0
3588,Timeline,0345417623,69078,0,
3589,Timeline,0345417623,69232,0,
3590,Timeline,0345417623,69554,0,
3591,Timeline,0345417623,69929,7,7.0
3592,Timeline,0345417623,69971,4,4.0
3593,Timeline,0345417623,72530,0,
3594,Timeline,0345417623,73910,0,
3595,Timeline,0345417623,76105,0,
3596,Timeline,0345417623,76352,0,
3597,Timeline,0345417623,76482,5,5.0
3598,Timeline,0345417623,76942,0,
3599,Timeline,0345417623,77320,0,
3600,Timeline,0345417623,77585,10,10.0
3601,Timeline,0345417623,78434,0,
3602,Timeline,0345417623,79186,0,
3603,Timeline,0345417623,80375,7,7.0
3604,Timeline,0345417623,80538,8,8.0
3605,Timeline,0345417623,80996,0,
3606,Timeline,0345417623,81136,6,6.0
3607,Timeline,0345417623,81484,10,10.0
3608,Timeline,0345417623,81492,10,10.0
3609,Timeline,0345417623,81609,0,
3610,Timeline,0345417623,81848,0,
3611,Timeline,0345417623,82407,0,
3612,Timeline,0345417623,83186,10,10.0
3613,Timeline,0345417623,83214,0,
3614,Timeline,0345417623,84150,5,5.0
3615,Timeline,0345417623,86242,4,4.0
3616,Timeline,0345417623,87141,0,
3617,Timeline,0345417623,87906,8,8.0
3618,Timeline,0345417623,88123,0,
3619,Timeline,0345417623,88187,0,
3620,Timeline,0345417623,88738,0,
3621,Timeline,0345417623,89602,0,
3622,Timeline,0345417623,90467,0,
3623,Timeline,0345417623,91023,0,
3624,Timeline,0345417623,92810,5,5.0
3625,Timeline,0345417623,93257,0,
3626,Timeline,0345417623,94677,7,7.0
3627,Timeline,0345417623,95991,0,
3628,Timeline,0345417623,96954,10,10.0
3629,Timeline,0345417623,98440,0,
3630,Timeline,0345417623,98722,7,7.0
3631,Timeline,0345417623,98787,0,
3632,Timeline,0345417623,99051,0,
3633,Timeline,0345417623,100846,8,8.0
3634,Timeline,0345417623,102170,8,8.0
3635,Timeline,0345417623,102967,0,
3636,Timeline,0345417623,103176,9,9.0
3637,Timeline,0345417623,105108,0,
3638,Timeline,0345417623,105374,0,
3639,Timeline,0345417623,105925,10,10.0
3640,Timeline,0345417623,106007,9,9.0
3641,Timeline,0345417623,106302,0,
3642,Timeline,0345417623,106816,0,
3643,Timeline,0345417623,108752,0,
3644,Timeline,0345417623,109562,0,
3645,Timeline,0345417623,110700,9,9.0
3646,Timeline,0345417623,110993,0,
3647,Timeline,0345417623,111083,7,7.0
3648,Timeline,0345417623,112590,8,8.0
3649,Timeline,0345417623,112815,0,
3650,Timeline,0345417623,112855,8,8.0
3651,Timeline,0345417623,112881,0,
3652,Timeline,0345417623,113328,9,9.0
3653,Timeline,0345417623,113519,0,
3654,Timeline,0345417623,114317,0,
3655,Timeline,0345417623,114446,0,
3656,Timeline,0345417623,114742,10,10.0
3657,Timeline,0345417623,115120,0,
3658,Timeline,0345417623,115435,7,7.0
3659,Timeline,0345417623,116972,0,
3660,Timeline,0345417623,117858,0,
3661,Timeline,0345417623,119049,7,7.0
3662,Timeline,0345417623,119205,9,9.0
3663,Timeline,0345417623,120749,0,
3664,Timeline,0345417623,121233,10,10.0
3665,Timeline,0345417623,121251,9,9.0
3666,Timeline,0345417623,121517,7,7.0
3667,Timeline,0345417623,122440,0,
3668,Timeline,0345417623,123867,8,8.0
3669,Timeline,0345417623,124079,0,
3670,Timeline,0345417623,124487,0,
3671,Timeline,0345417623,125269,7,7.0
3672,Timeline,0345417623,126531,10,10.0
3673,Timeline,0345417623,126736,0,
3674,Timeline,0345417623,127233,0,
3675,Timeline,0345417623,127429,0,
3676,Timeline,0345417623,127942,0,
3677,Timeline,0345417623,128085,0,
3678,Timeline,0345417623,128341,7,7.0
3679,Timeline,0345417623,129084,8,8.0
3680,Timeline,0345417623,129843,0,
3681,Timeline,0345417623,130878,8,8.0
3682,Timeline,0345417623,131027,0,
3683,Timeline,0345417623,132151,0,
3684,Timeline,0345417623,132392,7,7.0
3685,Timeline,0345417623,132624,5,5.0
3686,Timeline,0345417623,133462,4,4.0
3687,Timeline,0345417623,134630,8,8.0
3688,Timeline,0345417623,135045,0,
3689,Timeline,0345417623,135149,8,8.0
3690,Timeline,0345417623,135458,0,
3691,Timeline,0345417623,135831,0,
3692,Timeline,0345417623,135865,0,
3693,Timeline,0345417623,136382,0,
3694,Timeline,0345417623,136733,0,
