,Book-Title,Year-Of-Publication,isbn,user_id,book_rating
81,Beloved (Plume Contemporary Fiction),1994,0452264464,3373,10
83,Beloved (Plume Contemporary Fiction),1994,0452264464,6242,5
86,Beloved (Plume Contemporary Fiction),1994,0452264464,11676,8
90,Beloved (Plume Contemporary Fiction),1994,0452264464,21870,9
91,Beloved (Plume Contemporary Fiction),1994,0452264464,22625,9
93,Beloved (Plume Contemporary Fiction),1994,0452264464,28056,9
95,Beloved (Plume Contemporary Fiction),1994,0452264464,36907,10
96,Beloved (Plume Contemporary Fiction),1994,0452264464,40330,8
97,Beloved (Plume Contemporary Fiction),1994,0452264464,40612,2
99,Beloved (Plume Contemporary Fiction),1994,0452264464,52832,1
101,Beloved (Plume Contemporary Fiction),1994,0452264464,63956,9
104,Beloved (Plume Contemporary Fiction),1994,0452264464,80683,10
107,Beloved (Plume Contemporary Fiction),1994,0452264464,86243,9
108,Beloved (Plume Contemporary Fiction),1994,0452264464,92810,7
110,Beloved (Plume Contemporary Fiction),1994,0452264464,95932,10
111,Beloved (Plume Contemporary Fiction),1994,0452264464,99946,8
112,Beloved (Plume Contemporary Fiction),1994,0452264464,100459,7
115,Beloved (Plume Contemporary Fiction),1994,0452264464,102359,10
116,Beloved (Plume Contemporary Fiction),1994,0452264464,102430,7
118,Beloved (Plume Contemporary Fiction),1994,0452264464,105214,10
119,Beloved (Plume Contemporary Fiction),1994,0452264464,105517,1
120,Beloved (Plume Contemporary Fiction),1994,0452264464,107258,6
122,Beloved (Plume Contemporary Fiction),1994,0452264464,119858,10
124,Beloved (Plume Contemporary Fiction),1994,0452264464,124298,10
125,Beloved (Plume Contemporary Fiction),1994,0452264464,129716,10
127,Beloved (Plume Contemporary Fiction),1994,0452264464,132930,9
129,Beloved (Plume Contemporary Fiction),1994,0452264464,146932,10
130,Beloved (Plume Contemporary Fiction),1994,0452264464,148744,9
132,Beloved (Plume Contemporary Fiction),1994,0452264464,157799,5
133,Beloved (Plume Contemporary Fiction),1994,0452264464,159732,7
134,Beloved (Plume Contemporary Fiction),1994,0452264464,165319,5
136,Beloved (Plume Contemporary Fiction),1994,0452264464,174326,9
138,Beloved (Plume Contemporary Fiction),1994,0452264464,178667,5
140,Beloved (Plume Contemporary Fiction),1994,0452264464,204909,8
144,Beloved (Plume Contemporary Fiction),1994,0452264464,224138,9
147,Beloved (Plume Contemporary Fiction),1994,0452264464,240401,8
148,Beloved (Plume Contemporary Fiction),1994,0452264464,241214,9
149,Beloved (Plume Contemporary Fiction),1994,0452264464,250764,8
154,Beloved (Plume Contemporary Fiction),1994,0452264464,264543,8
155,Beloved (Plume Contemporary Fiction),1994,0452264464,266283,10
156,Beloved (Plume Contemporary Fiction),1994,0452264464,269799,10
158,Beloved (Plume Contemporary Fiction),1994,0452264464,271144,5
185,Wild Animus,2004,0971880107,277042,2
188,Wild Animus,2004,0971880107,1435,5
190,Wild Animus,2004,0971880107,1733,1
192,Wild Animus,2004,0971880107,2766,6
206,Wild Animus,2004,0971880107,11224,1
208,Wild Animus,2004,0971880107,11676,6
210,Wild Animus,2004,0971880107,11993,2
221,Wild Animus,2004,0971880107,20147,2
224,Wild Animus,2004,0971880107,21404,3
225,Wild Animus,2004,0971880107,22012,3
231,Wild Animus,2004,0971880107,25583,2
233,Wild Animus,2004,0971880107,26371,5
246,Wild Animus,2004,0971880107,30972,1
247,Wild Animus,2004,0971880107,31826,1
248,Wild Animus,2004,0971880107,32329,6
262,Wild Animus,2004,0971880107,37293,3
264,Wild Animus,2004,0971880107,37538,7
267,Wild Animus,2004,0971880107,37950,3
268,Wild Animus,2004,0971880107,38023,9
269,Wild Animus,2004,0971880107,40299,4
276,Wild Animus,2004,0971880107,41757,5
279,Wild Animus,2004,0971880107,42651,7
286,Wild Animus,2004,0971880107,46398,4
294,Wild Animus,2004,0971880107,51803,1
296,Wild Animus,2004,0971880107,52425,5
298,Wild Animus,2004,0971880107,52635,5
300,Wild Animus,2004,0971880107,53042,1
303,Wild Animus,2004,0971880107,54453,1
305,Wild Animus,2004,0971880107,55187,6
307,Wild Animus,2004,0971880107,56399,5
313,Wild Animus,2004,0971880107,59559,3
315,Wild Animus,2004,0971880107,60050,2
325,Wild Animus,2004,0971880107,65258,6
338,Wild Animus,2004,0971880107,69378,5
341,Wild Animus,2004,0971880107,70222,5
342,Wild Animus,2004,0971880107,70649,8
354,Wild Animus,2004,0971880107,75842,1
360,Wild Animus,2004,0971880107,79821,1
361,Wild Animus,2004,0971880107,80555,6
373,Wild Animus,2004,0971880107,86243,6
377,Wild Animus,2004,0971880107,88693,4
386,Wild Animus,2004,0971880107,91634,10
387,Wild Animus,2004,0971880107,92405,6
391,Wild Animus,2004,0971880107,93257,3
393,Wild Animus,2004,0971880107,94853,6
394,Wild Animus,2004,0971880107,95025,8
395,Wild Animus,2004,0971880107,98628,1
397,Wild Animus,2004,0971880107,99026,2
398,Wild Animus,2004,0971880107,99946,3
406,Wild Animus,2004,0971880107,104243,6
410,Wild Animus,2004,0971880107,107258,4
424,Wild Animus,2004,0971880107,114988,1
429,Wild Animus,2004,0971880107,118654,1
439,Wild Animus,2004,0971880107,124078,9
440,Wild Animus,2004,0971880107,124079,6
444,Wild Animus,2004,0971880107,126693,1
450,Wild Animus,2004,0971880107,128332,4
452,Wild Animus,2004,0971880107,129538,2
453,Wild Animus,2004,0971880107,129851,1
461,Wild Animus,2004,0971880107,132375,5
468,Wild Animus,2004,0971880107,136139,2
469,Wild Animus,2004,0971880107,136237,2
470,Wild Animus,2004,0971880107,136747,7
471,Wild Animus,2004,0971880107,138844,6
480,Wild Animus,2004,0971880107,141819,7
482,Wild Animus,2004,0971880107,142479,4
483,Wild Animus,2004,0971880107,142600,1
492,Wild Animus,2004,0971880107,148804,1
495,Wild Animus,2004,0971880107,152016,4
501,Wild Animus,2004,0971880107,157602,2
507,Wild Animus,2004,0971880107,160431,5
